country_iso_code,country_name,state_name,state_code,city_name
US,United States,California,CA,Los Angeles
US,United States,California,CA,San Francisco
US,United States,New York,NY,New York City
US,United States,Texas,TX,Austin
US,United States,Washington,WA,Seattle
CA,Canada,Ontario,ON,Toronto
CA,Canada,British Columbia,BC,Vancouver
AU,Australia,New South Wales,NSW,Sydney
AU,Australia,Victoria,VIC,Melbourne
PH,Philippines,Metro Manila,NCR,Quezon City
PH,Philippines,Cebu,CEB,Cebu City
GB,United Kingdom,England,ENG,London
GB,United Kingdom,Scotland,SCT,Edinburgh
IN,India,Maharashtra,MH,Mumbai
IN,India,Karnataka,KA,Bengaluru
NG,Nigeria,Lagos,LA,Lagos
NG,Nigeria,Federal Capital Territory,FCT,Abuja
ZA,South Africa,Gauteng,GT,Johannesburg
JP,Japan,,,Tokyo
JP,Japan,,,Osaka
SG,Singapore,,,Singapore
AE,United Arab Emirates,,,Dubai
AE,United Arab Emirates,,,Abu Dhabi
FR,France,,,Paris
DE,Germany,,,Berlin
BR,Brazil,São Paulo,SP,São Paulo
BR,Brazil,Rio de Janeiro,RJ,Rio de Janeiro
